gene set	gene
Glycolysis / Gluconeogenesis	AC5u0009GL000150
Glycolysis / Gluconeogenesis	AC5u0009GL000472
Glycolysis / Gluconeogenesis	AC5u0009GL000639
Glycolysis / Gluconeogenesis	AC5u0009GL001180
Glycolysis / Gluconeogenesis	AC5u0009GL002157
Glyoxylate and dicarboxylate metabolism	AC5u0009GL002089
Glyoxylate and dicarboxylate metabolism	AC5u0009GL000698
Glyoxylate and dicarboxylate metabolism	AC5u0009GL000699
Histidine metabolism	AC5u0009GL000423
Inositol phosphate metabolism	AC5u0009GL000398
Inositol phosphate metabolism	AC5u0009GL001052
Inositol phosphate metabolism	AC5u0009GL001955
Inositol phosphate metabolism	AC5u0009GL001379
Lipoic acid metabolism	AC5u0009GL001162
Lipoic acid metabolism	AC5u0009GL001200
Lysine biosynthesis	AC5u0009GL000055
Lysine biosynthesis	AC5u0009GL000419
Lysine biosynthesis	AC5u0009GL000615
Lysine biosynthesis	AC5u0009GL000799
Lysine biosynthesis	AC5u0009GL001169
Lysine biosynthesis	AC5u0009GL001354
Lysine biosynthesis	AC5u0009GL001356
Lysine biosynthesis	AC5u0009GL001357
Lysine biosynthesis	AC5u0009GL001358
Lysine biosynthesis	AC5u0009GL001359
Lysine biosynthesis	AC5u0009GL001360
Lysine biosynthesis	AC5u0009GL001361
Lysine biosynthesis	AC5u0009GL001591
Lysine biosynthesis	AC5u0009GL001051
Lysine biosynthesis	AC5u0009GL001436
Nicotinate and Nicotinamide metabolism	AC5u0009GL000090
Nicotinate and Nicotinamide metabolism	AC5u0009GL000346
Nicotinate and Nicotinamide metabolism	AC5u0009GL000675
Nicotinate and Nicotinamide metabolism	AC5u0009GL001904
Nicotinate and Nicotinamide metabolism	AC5u0009GL000327
Nicotinate and Nicotinamide metabolism	AC5u0009GL001552
Nicotinate and Nicotinamide metabolism	AC5u0009GL001630
Nicotinate and Nicotinamide metabolism	AC5u0009GL002057
Nicotinate and nicotinamide metabolism	AC5u0009GL000090
Nicotinate and nicotinamide metabolism	AC5u0009GL000345
Nicotinate and nicotinamide metabolism	AC5u0009GL000346
Nicotinate and nicotinamide metabolism	AC5u0009GL000718
Nicotinate and nicotinamide metabolism	AC5u0009GL000719
Nicotinate and nicotinamide metabolism	AC5u0009GL000798
Nicotinate and nicotinamide metabolism	AC5u0009GL000835
Nicotinate and nicotinamide metabolism	AC5u0009GL001080
Nicotinate and nicotinamide metabolism	AC5u0009GL001278
Nicotinate and nicotinamide metabolism	AC5u0009GL001474
Nicotinate and nicotinamide metabolism	AC5u0009GL001505
Nicotinate and nicotinamide metabolism	AC5u0009GL001810
Nicotinate and nicotinamide metabolism	AC5u0009GL000662
