gene set	gene
H+	AC5u0009GL000116
H+	AC5u0009GL000120
H+	AC5u0009GL000121
H+	AC5u0009GL000124
H+	AC5u0009GL000127
H+	AC5u0009GL000138
H+	AC5u0009GL000143
H+	AC5u0009GL000144
H+	AC5u0009GL000151
H+	AC5u0009GL000164
H+	AC5u0009GL000165
H+	AC5u0009GL000169
H+	AC5u0009GL000175
H+	AC5u0009GL000177
H+	AC5u0009GL000185
H+	AC5u0009GL000196
H+	AC5u0009GL000202
H+	AC5u0009GL000209
H+	AC5u0009GL000221
H+	AC5u0009GL000222
H+	AC5u0009GL000223
H+	AC5u0009GL000224
H+	AC5u0009GL000226
H+	AC5u0009GL000227
H+	AC5u0009GL000228
H+	AC5u0009GL000231
H+	AC5u0009GL000269
H+	AC5u0009GL000270
H+	AC5u0009GL000271
H+	AC5u0009GL000309
H+	AC5u0009GL000316
H+	AC5u0009GL000317
H+	AC5u0009GL000318
H+	AC5u0009GL000322
H+	AC5u0009GL000325
H+	AC5u0009GL000329
H+	AC5u0009GL000330
H+	AC5u0009GL000331
H+	AC5u0009GL000332
H+	AC5u0009GL000345
H+	AC5u0009GL000365
H+	AC5u0009GL000367
H+	AC5u0009GL000373
H+	AC5u0009GL000390
H+	AC5u0009GL000394
H+	AC5u0009GL000395
H+	AC5u0009GL000398
H+	AC5u0009GL000399
H+	AC5u0009GL000401
H+	AC5u0009GL000405
H+	AC5u0009GL000409
H+	AC5u0009GL000419
H+	AC5u0009GL000420
H+	AC5u0009GL000435
H+	AC5u0009GL000439
H+	AC5u0009GL000452
H+	AC5u0009GL000459
H+	AC5u0009GL000463
H+	AC5u0009GL000468
H+	AC5u0009GL000571
H+	AC5u0009GL000573
H+	AC5u0009GL000583
H+	AC5u0009GL000584
H+	AC5u0009GL000586
H+	AC5u0009GL000587
H+	AC5u0009GL000588
H+	AC5u0009GL000589
H+	AC5u0009GL000599
H+	AC5u0009GL000600
H+	AC5u0009GL000605
H+	AC5u0009GL000611
H+	AC5u0009GL000612
H+	AC5u0009GL000613
H+	AC5u0009GL000614
H+	AC5u0009GL000663
H+	AC5u0009GL000667
H+	AC5u0009GL000668
H+	AC5u0009GL000669
H+	AC5u0009GL000674
H+	AC5u0009GL000675
H+	AC5u0009GL000676
H+	AC5u0009GL000677
H+	AC5u0009GL000678
H+	AC5u0009GL000679
H+	AC5u0009GL000680
H+	AC5u0009GL000683
H+	AC5u0009GL000718
H+	AC5u0009GL000719
H+	AC5u0009GL000726
H+	AC5u0009GL000727
H+	AC5u0009GL000728
H+	AC5u0009GL000729
H+	AC5u0009GL000733
H+	AC5u0009GL000754
H+	AC5u0009GL000758
H+	AC5u0009GL000768
H+	AC5u0009GL000769
H+	AC5u0009GL000771
H+	AC5u0009GL000776
H+	AC5u0009GL000777
H+	AC5u0009GL000781
H+	AC5u0009GL000790
H+	AC5u0009GL000793
H+	AC5u0009GL000794
H+	AC5u0009GL000795
H+	AC5u0009GL000796
H+	AC5u0009GL000797
H+	AC5u0009GL000798
H+	AC5u0009GL000800
H+	AC5u0009GL000820
H+	AC5u0009GL000826
H+	AC5u0009GL000834
H+	AC5u0009GL000835
H+	AC5u0009GL000843
H+	AC5u0009GL000844
H+	AC5u0009GL000848
H+	AC5u0009GL000849
H+	AC5u0009GL000870
H+	AC5u0009GL000884
H+	AC5u0009GL000889
H+	AC5u0009GL000891
H+	AC5u0009GL000892
H+	AC5u0009GL000894
H+	AC5u0009GL000895
H+	AC5u0009GL000897
H+	AC5u0009GL000899
H+	AC5u0009GL000900
H+	AC5u0009GL000906
H+	AC5u0009GL000907
H+	AC5u0009GL000910
