gene set	gene
3-oxoacyl-[acyl-carrier-protein] reductase (n-C18:1)	AC5u0009GL000228
3-oxoacyl-[acyl-carrier-protein] reductase (n-C4:0)	AC5u0009GL000228
3-oxoacyl-[acyl-carrier-protein] reductase (n-C6:0)	AC5u0009GL000228
3-oxoacyl-[acyl-carrier-protein] reductase (n-C8:0)	AC5u0009GL000228
3-oxoacyl-[acyl-carrier-protein] synthase (n-C12:0)	AC5u0009GL000227
3-oxoacyl-[acyl-carrier-protein] synthase (n-C14:0)	AC5u0009GL000227
3-oxoacyl-[acyl-carrier-protein] synthase (n-C16:0)	AC5u0009GL000227
3-oxoacyl-[acyl-carrier-protein] synthase (n-C18:0)	AC5u0009GL000227
3-oxoacyl-[acyl-carrier-protein] synthase (n-C18:1)	AC5u0009GL000227
3R)-3-Hydroxydodecanoyl-[acyl-carrier-protein]:NADP+ oxidoreductase	AC5u0009GL000228
3R)-3-Hydroxydodecanoyl-[acyl-carrier-protein]:NADP+ oxidoreductase	AC5u0009GL000944
3R)-3-Hydroxytetradecanoyl-[acyl-carrier-protein]:NADP+ oxidoreductase	AC5u0009GL000228
3R)-3-Hydroxytetradecanoyl-[acyl-carrier-protein]:NADP+ oxidoreductase	AC5u0009GL000944
4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase	AC5u0009GL000589
4-amino-5-hydroxymethyl-2-methylpyrimidine synthetase	AC5u0009GL001190
4-aminobutyrate aminotransferase / Ornithine transaminase	AC5u0009GL000606
4-aminobutyrate transaminase	AC5u0009GL000606
4-aminobutyrate/glutamate antiport	AC5u0009GL000082
4-aminobutyrate/glutamate antiport	AC5u0009GL001157
4-carboxymuconolactone decarboxylase	AC5u0009GL000883
4-oxalocrotonate tautomerase	AC5u0009GL001477
5'-nucleotidase (AMP)	AC5u0009GL001278
5'-nucleotidase (CMP)	AC5u0009GL001278
5'-nucleotidase (GMP)	AC5u0009GL001278
5'-nucleotidase (IMP)	AC5u0009GL001278
5'-nucleotidase (UMP)	AC5u0009GL001278
5'-nucleotidase (XMP)	AC5u0009GL001278
5'-nucleotidase (dAMP)	AC5u0009GL001278
5'-nucleotidase (dCMP)	AC5u0009GL001278
5'-nucleotidase (dGMP)	AC5u0009GL001278
5'-nucleotidase (dTMP)	AC5u0009GL001278
5'-nucleotidase (dUMP)	AC5u0009GL001278
5-Methylcytosine aminohydrolase	AC5u0009GL000758
5-Methylcytosine aminohydrolase	AC5u0009GL000377
5-amino-1-(5-phospho-D-ribosyl)imidazole:carbon-dioxide ligase (ADP-forming)	AC5u0009GL000325
5-amino-1-(5-phospho-D-ribosyl)imidazole:carbon-dioxide ligase (ADP-forming)	AC5u0009GL000899
