gene set	gene
DKGLCNR1	AC5u0009GL000399
DKGLCNR1	AC5u0009GL000463
DKGLCNR1	AC5u0009GL002037
DKGLCNR2x	AC5u0009GL000399
DKGLCNR2x	AC5u0009GL000463
DKGLCNR2x	AC5u0009GL002037
DKGLCNR2y	AC5u0009GL000399
DKGLCNR2y	AC5u0009GL000463
DKGLCNR2y	AC5u0009GL002037
DKGLCNR2y	AC5u0009GL000462
DMATT	AC5u0009GL000033
DMATT	AC5u0009GL002178
DNMPPA	AC5u0009GL000848
DNMPPA	AC5u0009GL001067
DNMPPA	AC5u0009GL000642
DNMPPA	AC5u0009GL002154
DNTPPA	AC5u0009GL000848
DNTPPA	AC5u0009GL001067
DPCOAK	AC5u0009GL000820
DPCOAK	AC5u0009GL001095
DPMVD	AC5u0009GL001738
DPR	AC5u0009GL000435
DPR	AC5u0009GL000781
DRBK	AC5u0009GL000982
DRBK	AC5u0009GL001057
DRIBt2	AC5u0009GL000984
DRPA	AC5u0009GL000557
DRPA	AC5u0009GL001508
DTMPK	AC5u0009GL000763
DURADy	AC5u0009GL001033
DURADy	AC5u0009GL001034
DURIK1	AC5u0009GL000120
DURIPP	AC5u0009GL001505
DUTPDP	AC5u0009GL000733
DXPS	AC5u0009GL000870
ENO	AC5u0009GL001872
EPPP	AC5u0009GL000600
EPPP	AC5u0009GL000769
EPPP	AC5u0009GL000771
FA120ACPH	AC5u0009GL000768
FA140ACPH	AC5u0009GL000768
FA141ACPH	AC5u0009GL000768
FA160ACPH	AC5u0009GL000768
FA161ACPH	AC5u0009GL000768
FA180ACPH	AC5u0009GL000768
FA181ACPH	AC5u0009GL000768
FA182ACPH	AC5u0009GL000768
FBA	AC5u0009GL000360
FCLT	AC5u0009GL001301
FLVR	AC5u0009GL001307
FLVR	AC5u0009GL001308
FMETDF	AC5u0009GL000080
FMETDF	AC5u0009GL001373
FMETTRS	AC5u0009GL000024
FMNAT	AC5u0009GL000185
FMNRx	AC5u0009GL001904
FRD	AC5u0009GL001117
FRTT	AC5u0009GL000033
FRTT	AC5u0009GL002178
FRUK	AC5u0009GL001746
FTHFCL	AC5u0009GL000018
FTHFCL	AC5u0009GL000065
FTHFL	AC5u0009GL000908
FUCt	AC5u0009GL000984
FUM	AC5u0009GL001118
G1PACT	AC5u0009GL000584
G1PPDM	AC5u0009GL000407
G1PTMT	AC5u0009GL001424
G1PTMT	AC5u0009GL001417
G1SAT	AC5u0009GL001879
G35DP	AC5u0009GL000169
G3PCT	AC5u0009GL000196
G3PD1	AC5u0009GL000793
G5SD	AC5u0009GL000777
G6PDA	AC5u0009GL001275
G6PDH2r	AC5u0009GL002016
G6PI	AC5u0009GL000149
GALK2	AC5u0009GL002028
GALM	AC5u0009GL001430
GALS3	AC5u0009GL000933
GALS3	AC5u0009GL001744
GALSZ	AC5u0009GL000722
GALSZ	AC5u0009GL000721
GALT	AC5u0009GL002027
GALU	AC5u0009GL000794
GALt	AC5u0009GL002019
GAPD	AC5u0009GL001869
GARFT	AC5u0009GL000891
GF6PTA	AC5u0009GL000988
GGGABAH	AC5u0009GL000400
GHMT2r	AC5u0009GL000116
GK1	AC5u0009GL000028
GLCNt2	AC5u0009GL001364
GLCNt2	AC5u0009GL001541
GLCt	AC5u0009GL000151
GLCt	AC5u0009GL000984
GLCt	AC5u0009GL001518
GLNS	AC5u0009GL000057
GLNTAL	AC5u0009GL000329
GLNTAL	AC5u0009GL000330
GLNTAL	AC5u0009GL000331
GLNabc	AC5u0009GL000165
